11,0,15,0,10,0,22,0
28,0,3,0,25,0,16,0
8,0,35,0,34,0,39,0
36,0,24,0,5,0,7,0
26,0,14,0,9,0,1,0
30,0,37,0,13,0,38,0
33,0,23,0,4,0,27,0
6,0,18,0,2,0,12,0
17,0,21,0,31,0,19,0
29,0,20,0,32,0,34,0
36,0,8,0,25,0,14,0
7,0,16,0,37,0,13,0
1,0,4,0,24,0,11,0
30,0,5,0,9,0,27,0
22,0,6,0,38,0,31,0
32,0,10,0,35,0,12,0
17,0,28,0,21,0,29,0
26,0,15,0,20,0,39,0
18,0,23,0,3,0,33,0
2,0,27,0,19,0,25,0
1,0,7,0,34,0,30,0
4,0,10,0,8,0,22,0
5,0,13,0,17,0,31,0
14,0,12,0,15,0,28,0
11,0,32,0,6,0,3,0
20,0,38,0,21,0,23,0
39,0,18,0,29,0,19,0
9,0,33,0,35,0,16,0
36,0,2,0,37,0,26,0
24,0,34,0,10,0,25,0
27,0,7,0,8,0,15,0
1,0,21,0,23,0,13,0
32,0,19,0,30,0,14,0
12,0,5,0,11,0,22,0
33,0,39,0,36,0,20,0
38,0,16,0,29,0,2,0
6,0,28,0,3,0,9,0
37,0,4,0,26,0,17,0
35,0,31,0,24,0,18,0
5,0,23,0,34,0,13,0
30,0,8,0,12,0,11,0
33,0,10,0,2,0,38,0
9,0,21,0,36,0,22,0
32,0,37,0,19,0,28,0
1,0,15,0,4,0,6,0
16,0,3,0,39,0,27,0
20,0,26,0,31,0,24,0
29,0,25,0,35,0,17,0
14,0,7,0,18,0,5,0
2,0,33,0,22,0,28,0
8,0,9,0,37,0,1,0
27,0,21,0,6,0,12,0
31,0,11,0,16,0,39,0
26,0,38,0,35,0,34,0
17,0,7,0,14,0,10,0
36,0,13,0,19,0,4,0
32,0,24,0,23,0,15,0
3,0,25,0,20,0,30,0
29,0,5,0,18,0,8,0
22,0,39,0,37,0,16,0
27,0,35,0,21,0,11,0
31,0,12,0,1,0,38,0
6,0,15,0,34,0,36,0
2,0,9,0,3,0,4,0
25,0,7,0,23,0,29,0
