13,0,3,0,35,0,29,0
60,0,36,0,10,0,7,0
30,0,53,0,39,0,57,0
44,0,9,0,41,0,58,0
8,0,11,0,17,0,49,0
34,0,16,0,40,0,46,0
47,0,48,0,19,0,37,0
59,0,33,0,22,0,14,0
21,0,12,0,2,0,52,0
28,0,1,0,54,0,50,0
38,0,18,0,43,0,15,0
24,0,56,0,23,0,45,0
4,0,42,0,51,0,32,0
27,0,26,0,20,0,5,0
31,0,6,0,55,0,25,0
34,0,57,0,10,0,44,0
37,0,41,0,16,0,29,0
14,0,8,0,7,0,39,0
49,0,58,0,35,0,2,0
46,0,22,0,28,0,48,0
3,0,30,0,36,0,15,0
24,0,19,0,33,0,54,0
56,0,40,0,38,0,9,0
53,0,32,0,47,0,59,0
18,0,31,0,26,0,60,0
4,0,12,0,50,0,17,0
42,0,55,0,5,0,1,0
11,0,25,0,27,0,52,0
45,0,43,0,20,0,13,0
6,0,21,0,51,0,23,0
46,0,2,0,44,0,37,0
58,0,19,0,7,0,22,0
38,0,24,0,57,0,3,0
29,0,8,0,40,0,28,0
59,0,36,0,9,0,31,0
56,0,35,0,18,0,54,0
60,0,5,0,48,0,53,0
32,0,27,0,1,0,49,0
55,0,45,0,11,0,41,0
10,0,12,0,42,0,23,0
14,0,20,0,52,0,34,0
50,0,39,0,25,0,21,0
17,0,13,0,30,0,16,0
15,0,6,0,4,0,26,0
33,0,51,0,43,0,47,0
59,0,37,0,3,0,56,0
58,0,5,0,18,0,24,0
48,0,7,0,40,0,57,0
9,0,35,0,46,0,19,0
29,0,10,0,11,0,2,0
23,0,28,0,31,0,27,0
54,0,21,0,22,0,55,0
16,0,14,0,45,0,32,0
1,0,20,0,17,0,25,0
36,0,42,0,6,0,53,0
50,0,26,0,41,0,43,0
51,0,44,0,13,0,38,0
39,0,15,0,49,0,34,0
12,0,60,0,33,0,30,0
52,0,47,0,8,0,4,0
5,0,40,0,19,0,3,0
21,0,46,0,24,0,59,0
14,0,27,0,48,0,9,0
2,0,54,0,31,0,16,0
55,0,18,0,20,0,36,0
22,0,43,0,42,0,11,0
45,0,17,0,7,0,38,0
37,0,13,0,23,0,34,0
41,0,39,0,12,0,6,0
53,0,33,0,56,0,4,0
52,0,1,0,26,0,51,0
44,0,28,0,35,0,30,0
25,0,49,0,29,0,60,0
32,0,50,0,57,0,8,0
58,0,10,0,15,0,47,0
2,0,22,0,36,0,40,0
16,0,42,0,21,0,38,0
34,0,48,0,54,0,17,0
5,0,31,0,37,0,45,0
43,0,7,0,6,0,59,0
3,0,41,0,1,0,33,0
26,0,35,0,53,0,14,0
9,0,11,0,39,0,18,0
27,0,29,0,12,0,44,0
57,0,52,0,28,0,58,0
49,0,56,0,13,0,55,0
25,0,23,0,32,0,46,0
19,0,4,0,30,0,10,0
15,0,51,0,8,0,24,0
47,0,20,0,60,0,50,0
